Sensor Time,Motor Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
11:19:42,11:19:09,51.9,71.8,54.4,70.3,53.7,70.5,54.0,70.3,54.9,70.3,54.5,70.3,53.5,70.7,53.7,70.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:19:42,11:19:09,51.9,71.8,54.4,70.3,53.7,70.5,54.0,70.3,54.9,70.3,54.5,70.3,53.5,70.7,53.7,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:19:42,11:23:39,51.9,71.8,54.4,70.3,53.7,70.5,54.0,70.3,54.9,70.3,54.5,70.3,53.5,70.7,53.7,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:20:12,11:23:39,51.6,72.3,54.4,70.3,53.7,70.5,54.0,70.3,54.9,70.3,54.5,70.3,53.5,70.7,53.7,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:20:32,11:23:39,51.6,72.3,54.5,70.3,53.8,70.5,54.1,70.5,54.9,70.5,54.5,70.5,53.5,70.7,53.7,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:20:52,11:23:39,51.4,72.7,54.5,70.5,53.8,70.5,54.1,70.5,54.9,70.5,54.5,70.5,53.5,70.7,53.8,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:21:09,11:23:39,51.4,72.7,54.6,70.5,53.9,70.5,54.2,70.5,55.0,70.5,54.5,70.5,53.5,70.9,53.9,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:21:36,11:23:39,,,54.6,70.5,53.9,70.5,54.2,70.5,55.0,70.5,54.5,70.7,,,54.0,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:21:51,11:23:39,51.0,73.2,54.6,70.5,54.0,70.5,54.2,70.5,55.0,70.7,54.5,70.7,53.5,71.1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:22:13,11:23:39,50.9,73.2,54.6,70.7,54.0,70.5,54.3,70.5,55.0,70.5,54.5,70.7,53.5,71.1,54.1,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:22:28,11:23:39,50.9,73.4,54.7,70.7,54.1,70.5,54.3,70.5,55.0,70.7,54.6,70.7,53.5,71.1,54.2,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:22:43,11:23:39,50.7,73.9,54.7,70.7,54.1,70.5,54.4,70.5,55.1,70.7,54.6,70.9,53.5,71.1,54.3,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:22:58,11:23:39,50.6,73.8,54.7,70.7,54.2,70.7,54.4,70.5,55.1,70.7,54.6,70.9,53.5,71.1,54.4,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:23:12,11:23:39,50.6,73.9,54.7,70.7,54.2,70.7,54.5,70.5,55.1,70.7,54.7,70.9,53.5,71.2,54.4,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:23:25,11:23:39,50.5,74.3,54.8,70.9,54.4,70.7,54.5,70.5,55.1,70.7,54.7,71.1,53.5,71.2,54.5,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:23:49,11:23:39,50.4,74.5,54.8,70.9,54.5,70.9,54.7,70.5,55.2,70.7,54.8,71.1,53.6,71.4,54.6,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:23:49,11:28:10,50.4,74.5,54.8,70.9,54.5,70.9,54.7,70.5,55.2,70.7,54.8,71.1,53.6,71.4,54.6,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:24:07,11:28:10,50.6,74.7,54.8,70.9,54.5,70.7,54.7,70.5,55.2,70.9,54.9,71.2,53.6,71.4,54.8,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:24:27,11:28:10,50.4,75.0,55.0,71.1,54.5,70.9,54.8,70.5,55.3,70.9,55.0,71.4,53.6,71.4,55.0,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:24:54,11:28:10,50.4,75.0,55.0,71.1,54.8,70.9,54.9,70.7,55.4,70.9,55.0,71.4,53.7,71.6,55.0,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:25:24,11:28:10,50.4,75.2,55.0,71.1,54.8,70.9,55.1,70.7,55.4,70.9,55.0,71.4,53.7,71.8,55.2,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:25:44,11:28:10,50.2,75.6,55.2,71.2,54.9,70.9,55.3,70.7,55.5,71.1,55.1,71.6,53.7,71.8,55.4,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:25:58,11:28:10,50.2,75.6,55.2,71.2,55.0,71.1,55.3,70.7,55.6,71.1,55.1,71.6,53.7,72.0,55.4,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:26:13,11:28:10,50.3,75.9,55.3,71.2,55.1,71.1,55.4,70.7,55.6,71.1,55.2,71.8,53.7,72.0,55.5,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:26:30,11:28:10,50.1,75.9,55.4,71.2,55.3,71.1,55.4,70.7,55.7,71.2,55.2,71.8,53.8,72.0,55.7,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:26:50,11:28:10,49.8,76.1,55.5,71.4,55.3,71.1,55.5,70.9,55.7,71.2,55.2,72.0,53.8,72.0,55.7,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:27:02,11:28:10,49.8,76.5,55.6,71.6,55.4,71.1,55.6,70.9,55.7,71.2,55.3,72.0,,,55.8,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:27:27,11:28:10,49.8,76.6,55.6,71.6,55.5,71.1,55.8,70.9,55.9,71.2,55.3,72.0,53.9,72.1,55.9,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:27:50,11:28:10,49.8,76.8,55.7,71.6,55.6,71.1,55.9,71.1,55.9,71.2,55.3,72.1,53.9,72.3,56.1,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:28:02,11:28:10,49.7,76.8,55.7,71.6,55.7,71.2,55.9,71.1,55.9,71.2,55.4,72.3,54.0,72.3,56.2,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:28:22,11:28:10,49.7,76.8,55.8,71.6,55.8,71.2,56.0,71.1,55.9,71.2,55.4,72.3,54.0,72.5,56.2,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:28:22,11:32:40,49.7,76.8,55.8,71.6,55.8,71.2,56.0,71.1,55.9,71.2,55.4,72.3,54.0,72.5,56.2,71.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:28:34,11:32:40,49.7,77.0,55.9,71.8,,,56.1,71.1,56.0,71.4,55.4,72.3,54.0,72.5,56.4,71.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:29:01,11:32:40,43.2,,56.1,72.0,56.0,71.4,56.5,71.2,56.0,71.4,55.5,72.3,54.1,72.5,56.5,71.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:29:39,11:32:40,49.3,77.5,56.0,72.0,56.2,71.2,56.4,71.2,56.2,71.6,55.5,72.5,54.2,72.7,56.7,71.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:29:54,11:32:40,49.1,77.7,56.1,72.1,56.3,71.4,56.5,71.2,56.2,71.6,55.5,72.7,54.2,72.9,56.7,71.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:30:24,11:32:40,49.1,77.7,56.2,72.3,56.4,71.4,56.6,71.2,56.3,71.6,55.6,72.7,54.2,72.9,56.8,71.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:30:41,11:32:40,49.1,77.9,56.3,72.3,56.6,71.4,56.7,71.2,56.4,71.8,55.6,72.9,54.3,72.9,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:31:03,11:32:40,49.1,77.9,56.3,72.3,56.7,71.6,56.9,71.2,56.4,71.8,55.6,72.9,54.3,73.0,57.0,71.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:31:23,11:32:40,49.0,78.1,56.4,72.3,56.8,71.6,56.9,71.4,56.5,72.0,55.6,73.0,54.3,73.0,57.0,71.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:31:38,11:32:40,49.3,78.1,56.4,72.3,57.0,71.6,57.0,71.4,56.6,72.0,55.6,73.0,54.3,73.2,57.2,71.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:32:08,11:32:40,49.2,78.1,56.4,72.5,57.1,71.6,57.1,71.4,56.6,72.0,55.6,73.2,54.4,73.4,57.3,72.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:32:38,11:32:40,49.1,78.3,56.5,72.7,57.1,71.8,57.2,71.4,56.6,72.0,55.6,73.2,54.4,73.4,57.3,71.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:33:00,11:32:40,49.0,78.3,56.5,72.7,57.3,71.8,57.5,71.6,56.8,72.1,55.6,73.4,54.4,73.4,57.4,72.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:33:00,11:32:42,49.0,78.3,56.5,72.7,57.3,71.8,57.5,71.6,56.8,72.1,55.6,73.4,54.4,73.4,57.4,72.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11:33:00,11:32:44,49.0,78.3,56.5,72.7,57.3,71.8,57.5,71.6,56.8,72.1,55.6,73.4,54.4,73.4,57.4,72.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11:33:00,11:32:48,49.0,78.3,56.5,72.7,57.3,71.8,57.5,71.6,56.8,72.1,55.6,73.4,54.4,73.4,57.4,72.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:00,11:32:54,49.0,78.3,56.5,72.7,57.3,71.8,57.5,71.6,56.8,72.1,55.6,73.4,54.4,73.4,57.4,72.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:00,11:33:00,49.0,78.3,56.5,72.7,57.3,71.8,57.5,71.6,56.8,72.1,55.6,73.4,54.4,73.4,57.4,72.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11:33:27,11:33:02,49.2,78.3,56.5,72.7,57.4,71.8,57.6,71.6,56.8,72.0,55.6,73.4,54.6,73.6,57.4,72.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:27,11:33:08,49.2,78.3,56.5,72.7,57.4,71.8,57.6,71.6,56.8,72.0,55.6,73.4,54.6,73.6,57.4,72.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:27,11:33:10,49.2,78.3,56.5,72.7,57.4,71.8,57.6,71.6,56.8,72.0,55.6,73.4,54.6,73.6,57.4,72.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:27,11:33:12,49.2,78.3,56.5,72.7,57.4,71.8,57.6,71.6,56.8,72.0,55.6,73.4,54.6,73.6,57.4,72.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11:33:27,11:33:20,49.2,78.3,56.5,72.7,57.4,71.8,57.6,71.6,56.8,72.0,55.6,73.4,54.6,73.6,57.4,72.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11:33:27,11:33:28,49.2,78.3,56.5,72.7,57.4,71.8,57.6,71.6,56.8,72.0,55.6,73.4,54.6,73.6,57.4,72.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:50,11:33:28,49.2,78.3,56.7,72.7,57.5,71.8,57.7,71.6,56.9,72.3,55.6,73.4,54.1,73.8,57.5,72.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:50,11:33:32,49.2,78.3,56.7,72.7,57.5,71.8,57.7,71.6,56.9,72.3,55.6,73.4,54.1,73.8,57.5,72.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:50,11:33:36,49.2,78.3,56.7,72.7,57.5,71.8,57.7,71.6,56.9,72.3,55.6,73.4,54.1,73.8,57.5,72.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11:33:50,11:33:40,49.2,78.3,56.7,72.7,57.5,71.8,57.7,71.6,56.9,72.3,55.6,73.4,54.1,73.8,57.5,72.0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
11:33:50,11:33:44,49.2,78.3,56.7,72.7,57.5,71.8,57.7,71.6,56.9,72.3,55.6,73.4,54.1,73.8,57.5,72.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11:33:50,11:34:06,49.2,78.3,56.7,72.7,57.5,71.8,57.7,71.6,56.9,72.3,55.6,73.4,54.1,73.8,57.5,72.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
11:34:12,11:34:06,48.9,78.3,56.5,72.9,57.6,72.0,57.8,71.6,56.9,72.3,55.6,73.4,52.5,73.8,57.6,72.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
11:34:12,11:34:16,48.9,78.3,56.5,72.9,57.6,72.0,57.8,71.6,56.9,72.3,55.6,73.4,52.5,73.8,57.6,72.0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:29,11:34:16,49.0,78.4,56.6,72.9,57.8,72.0,58.0,71.6,57.0,72.3,55.5,73.6,52.5,73.8,57.7,72.0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:29,11:34:20,49.0,78.4,56.6,72.9,57.8,72.0,58.0,71.6,57.0,72.3,55.5,73.6,52.5,73.8,57.7,72.0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:29,11:34:24,49.0,78.4,56.6,72.9,57.8,72.0,58.0,71.6,57.0,72.3,55.5,73.6,52.5,73.8,57.7,72.0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0
11:34:29,11:34:30,49.0,78.4,56.6,72.9,57.8,72.0,58.0,71.6,57.0,72.3,55.5,73.6,52.5,73.8,57.7,72.0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:46,11:34:30,49.0,78.3,56.6,72.9,58.0,72.0,58.1,71.6,57.1,72.3,55.5,73.6,52.9,73.8,57.7,72.1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:46,11:34:32,49.0,78.3,56.6,72.9,58.0,72.0,58.1,71.6,57.1,72.3,55.5,73.6,52.9,73.8,57.7,72.1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:46,11:34:34,49.0,78.3,56.6,72.9,58.0,72.0,58.1,71.6,57.1,72.3,55.5,73.6,52.9,73.8,57.7,72.1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:46,11:34:36,49.0,78.3,56.6,72.9,58.0,72.0,58.1,71.6,57.1,72.3,55.5,73.6,52.9,73.8,57.7,72.1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:46,11:34:42,49.0,78.3,56.6,72.9,58.0,72.0,58.1,71.6,57.1,72.3,55.5,73.6,52.9,73.8,57.7,72.1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
11:34:46,11:34:44,49.0,78.3,56.6,72.9,58.0,72.0,58.1,71.6,57.1,72.3,55.5,73.6,52.9,73.8,57.7,72.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11:34:46,11:34:48,49.0,78.3,56.6,72.9,58.0,72.0,58.1,71.6,57.1,72.3,55.5,73.6,52.9,73.8,57.7,72.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:06,11:34:48,48.9,78.4,56.7,72.9,58.1,72.0,58.2,71.8,57.1,72.5,55.3,73.8,53.0,73.8,57.7,72.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:06,11:34:52,48.9,78.4,56.7,72.9,58.1,72.0,58.2,71.8,57.1,72.5,55.3,73.8,53.0,73.8,57.7,72.1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11:35:06,11:34:56,48.9,78.4,56.7,72.9,58.1,72.0,58.2,71.8,57.1,72.5,55.3,73.8,53.0,73.8,57.7,72.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:06,11:34:58,48.9,78.4,56.7,72.9,58.1,72.0,58.2,71.8,57.1,72.5,55.3,73.8,53.0,73.8,57.7,72.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:06,11:35:00,48.9,78.4,56.7,72.9,58.1,72.0,58.2,71.8,57.1,72.5,55.3,73.8,53.0,73.8,57.7,72.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:06,11:35:02,48.9,78.4,56.7,72.9,58.1,72.0,58.2,71.8,57.1,72.5,55.3,73.8,53.0,73.8,57.7,72.1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:06,11:35:32,48.9,78.4,56.7,72.9,58.1,72.0,58.2,71.8,57.1,72.5,55.3,73.8,53.0,73.8,57.7,72.1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:26,11:35:32,48.8,78.4,56.7,73.0,58.2,72.0,58.3,71.8,57.2,72.5,55.3,73.6,53.6,73.8,57.7,72.1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:41,11:35:32,48.9,78.4,56.9,73.0,58.3,72.0,58.3,71.8,57.3,72.5,55.4,73.8,53.6,73.8,57.7,72.1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:41,11:36:02,48.9,78.4,56.9,73.0,58.3,72.0,58.3,71.8,57.3,72.5,55.4,73.8,53.6,73.8,57.7,72.1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:56,11:36:02,49.0,78.4,57.0,73.2,58.3,72.0,58.3,71.8,57.4,72.5,55.4,73.8,53.7,73.9,57.7,72.1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:36:13,11:36:02,49.0,78.4,56.9,73.2,58.3,72.0,58.3,72.0,57.4,72.5,55.3,73.8,54.9,74.1,57.7,72.1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:36:13,11:36:32,49.0,78.4,56.9,73.2,58.3,72.0,58.3,72.0,57.4,72.5,55.3,73.8,54.9,74.1,57.7,72.1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:36:33,11:36:32,47.9,78.3,56.8,73.2,58.4,72.1,58.9,72.0,57.8,72.7,55.7,73.9,54.9,73.9,58.0,72.1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:36:33,11:37:02,47.9,78.3,56.8,73.2,58.4,72.1,58.9,72.0,57.8,72.7,55.7,73.9,54.9,73.9,58.0,72.1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:36:47,11:37:02,47.9,78.3,57.6,73.2,58.3,72.1,58.6,72.0,58.4,72.5,55.8,73.9,54.6,74.1,57.8,72.3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:37:12,11:37:02,48.2,78.3,57.4,73.4,58.2,72.1,58.2,72.0,58.1,72.7,55.7,73.9,54.6,74.1,57.8,72.3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:37:12,11:37:32,48.2,78.3,57.4,73.4,58.2,72.1,58.2,72.0,58.1,72.7,55.7,73.9,54.6,74.1,57.8,72.3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:37:35,11:37:32,48.4,78.3,57.0,73.4,58.2,72.3,58.2,72.1,58.0,72.7,55.6,74.1,54.6,74.3,57.7,72.3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:37:35,11:38:02,48.4,78.3,57.0,73.4,58.2,72.3,58.2,72.1,58.0,72.7,55.6,74.1,54.6,74.3,57.7,72.3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:37:49,11:38:02,48.4,78.3,56.9,73.4,58.1,72.3,57.9,72.1,57.9,72.7,55.6,73.9,54.4,74.3,57.6,72.3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:38:14,11:38:02,48.6,78.1,56.8,73.4,58.0,72.3,57.8,72.1,57.8,72.9,55.6,74.1,54.4,74.3,57.6,72.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:38:14,11:38:32,48.6,78.1,56.8,73.4,58.0,72.3,57.8,72.1,57.8,72.9,55.6,74.1,54.4,74.3,57.6,72.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:38:26,11:38:32,47.9,78.1,56.8,73.6,57.8,72.3,57.7,72.1,58.3,72.9,55.3,74.1,54.2,74.3,57.6,72.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:39:01,11:38:32,47.9,78.1,56.8,73.6,57.8,72.3,57.7,72.1,58.1,72.9,55.2,74.1,54.2,74.5,57.4,72.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:39:01,11:39:02,47.9,78.1,56.8,73.6,57.8,72.3,57.7,72.1,58.1,72.9,55.2,74.1,54.2,74.5,57.4,72.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:39:14,11:39:02,48.0,77.9,56.4,73.6,57.6,72.3,57.5,72.3,57.8,72.9,55.3,74.1,54.1,74.5,57.3,72.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:39:14,11:39:32,48.0,77.9,56.4,73.6,57.6,72.3,57.5,72.3,57.8,72.9,55.3,74.1,54.1,74.5,57.3,72.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:39:33,11:39:32,48.2,77.9,56.3,73.6,57.5,72.5,57.4,72.3,57.7,72.9,55.3,74.3,54.2,74.5,57.3,72.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:39:33,11:40:02,48.2,77.9,56.3,73.6,57.5,72.5,57.4,72.3,57.7,72.9,55.3,74.3,54.2,74.5,57.3,72.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:39:46,11:40:02,48.5,77.9,56.3,73.8,57.4,72.5,57.3,72.3,57.6,72.9,55.3,74.1,54.1,74.5,57.2,72.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:40:03,11:40:02,48.5,77.9,56.2,73.8,57.4,72.5,57.2,72.3,57.6,72.9,55.2,74.1,54.0,74.5,57.2,72.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:40:03,11:40:32,48.5,77.9,56.2,73.8,57.4,72.5,57.2,72.3,57.6,72.9,55.2,74.1,54.0,74.5,57.2,72.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:40:20,11:40:32,48.1,77.9,56.2,73.8,57.3,72.5,57.2,72.3,57.6,73.0,54.7,74.5,53.8,74.5,57.2,72.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:40:45,11:40:32,48.0,77.9,56.1,73.8,57.2,72.5,57.1,72.3,57.5,73.0,54.7,74.3,53.7,74.5,57.0,72.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:40:45,11:41:02,48.0,77.9,56.1,73.8,57.2,72.5,57.1,72.3,57.5,73.0,54.7,74.3,53.7,74.5,57.0,72.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:41:00,11:41:02,48.1,77.7,55.7,73.9,57.0,72.5,56.9,72.5,57.3,73.0,54.9,74.5,53.7,74.7,56.8,72.7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:41:25,11:41:02,48.2,77.9,55.7,73.8,56.9,72.5,56.9,72.5,57.3,73.0,55.0,74.5,53.7,74.7,56.8,72.7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
